Industry,Category,Date Published,Description,Bedrooms/Baths,Price,Size,State,Location,Housing Type,Telephone,Contact Person,Email
Real Estate,Properties for rent,Aug 3,Ridgewood Apartment for Rent!,1BR / 1Ba,1800,,New York,(Ridgewood),Apartment,(225)654-9079,Chadwick,Chadwick@gmail.com
Real Estate,Properties for rent,Aug 3,Furnished Apartment For Rent,4BR / 2.5Ba,4500,,New York,(119 Horizon Court),Apartment,(225)654-9080,Ashley,Ashley@gmail.com
Real Estate,Properties for rent,Aug 3,3 BEDROOM FOR RENT !! HUGE APARTMENT !! 10 MINUTES TO GROVE STREET !!,3BR / 0Ba,1550,1000,New York,(JERSEY CITY 305 MLK DR),Apartment,(225)654-9081,Rex,Rex@gmail.com
Real Estate,Properties for rent,Aug 3,3 BEDROOM FOR RENT !! HUGE APARTMENT !! 10 MINUTES TO GROVE STREET !!,3BR / 0Ba,1600,1000,New York,(JERSEY CITY 305 MLK DR),Apartment,(225)654-9082,Jarod,Jarod@gmail.com
Real Estate,Properties for rent,Aug 3,3 BEDROOM FOR RENT !! HUGE APARTMENT !! 10 MINUTES TO GROVE STREET !!,3BR / 0Ba,1550,1000,New York,(JERSEY CITY 305 MLK DR),Apartment,(225)654-9083,Sammy,Sammy@gmail.com
Real Estate,Properties for rent,Aug 3,3 BEDROOM FOR RENT !! HUGE APARTMENT !! 10 MINUTES TO GROVE STREET !!,3BR / 0Ba,1600,1000,New York,(JERSEY CITY 305 MLK DR),Apartment,(225)654-9084,Jean,Jean@gmail.com
Real Estate,Properties for rent,Aug 3,3 BEDROOM FOR RENT !! HUGE APARTMENT !! 10 MINUTES TO GROVE STREET !!,3BR / 0Ba,1650,1000,New York,(JERSEY CITY 305 MLK DR),Apartment,(225)654-9085,Jim,Jim@gmail.com
Real Estate,Properties for rent,Aug 3,3 BEDROOM FOR RENT !! HUGE APARTMENT !! 10 MINUTES TO GROVE STREET !!,3BR / 0Ba,1650,1000,New York,(JERSEY CITY 305 MLK DR),Apartment,(225)654-9086,Reynaldo,Reynaldo@gmail.com
Real Estate,Properties for rent,Aug 3,3 BEDROOM FOR RENT !! HUGE APARTMENT !! 10 MINUTES TO GROVE STREET !!,3BR / 0Ba,1600,1000,New York,(JERSEY CITY 305 MLK DR),Apartment,(225)654-9087,Antwan,Antwan@gmail.com
Real Estate,Properties for rent,Aug 3,"3 Bedrooms, 1Bath apartment for rent",3BR / 1Ba,2300,,New York,(ft hamilton pkwy),Apartment,(225)654-9088,Quintin,Quintin@gmail.com
Real Estate,Properties for rent,Aug 3,2 bedrooms apartment for rent in Woodside,2BR / 0Ba,1400,800,New York,(woodside),Apartment,(225)654-9089,Jefferson,Jefferson@gmail.com
Real Estate,Properties for rent,Aug 3,Apartment Wanted for Rent September move-in date.,,,,New York,(Auburndale or Bayside),Apartment,(225)654-9090,Conrad,Conrad@gmail.com
Real Estate,Properties for rent,Aug 3,Apartment for rent in Hell's Kitchen/Midtown West,1BR / 1Ba,2700,,New York,(Midtown West),Apartment,(225)654-9091,Herman,Herman@gmail.com
Real Estate,Properties for rent,Aug 3,Soho/WV - 1 Room in 2Bed/1Bath Apartment for Rent - Sept 1 lease start,,1850,,New York,(West Village),Apartment,(225)654-9092,Rhett,Rhett@gmail.com
Real Estate,Properties for rent,Aug 3,2 BR+ Apartment for Rent in Cobble Hill,2BR / 1Ba,3750,950,New York,"(Cobble Hill, Brooklyn)",Apartment,(225)654-9093,Scotty,Scotty@gmail.com
Real Estate,Properties for rent,Aug 3,Apartment for rent one bedroom,1BR / 0Ba,1500,,New York,(West Babylon),Apartment,(225)654-9094,Ted,Ted@gmail.com
Real Estate,Properties for rent,Aug 3,"APARTMENT FOR RENT IN LINDEN, NJ",,950,,New York,,Apartment,(225)654-9095,Garret,Garret@gmail.com
Real Estate,Properties for rent,Aug 3,Beautiful 2 bedroom apartment for rent,,2345,,New York,(Park slope south),Apartment,(225)654-9096,Pierce,Pierce@gmail.com
Real Estate,Properties for rent,Aug 3,Apartment For Rent,2BR / 1Ba,2100,580,New York,(CORONA),Apartment,(225)654-9097,Arnold,Arnold@gmail.com
Real Estate,Properties for rent,Aug 3,Apartment for Rent by Owner in Private Home,3BR / 1Ba,2300,,New York,"(Howard Beach, NY)",Apartment,(225)654-9098,Clyde,Clyde@gmail.com
Real Estate,Properties for rent,Aug 3,Gorgeous Apartment in Manhattan fully furnished for rent,2BR / 2Ba,,,New York,(Midtown),Apartment,(225)654-9099,Harvey,Harvey@gmail.com
Real Estate,Properties for rent,Aug 3,Private Room For rent Fully Furnished 2 Bed Apartment[Veg-Indian],,900,,New York,(SECAUCUS),Apartment,(225)654-9100,Mohammed,Mohammed@gmail.com
Real Estate,Properties for rent,Aug 3,1br Sunny Apartment For Rent Near All (Sunset Park) (,,1600,,New York,(Sunset park 43rd st),Apartment,(225)654-9101,Loren,Loren@gmail.com
Real Estate,Properties for rent,Aug 3,Cozy East Village 1 BD Apartment for Rent NO BROKER FEE,1BR / 1Ba,2695,,New York,(East Village),Apartment,(225)654-9102,Reuben,Reuben@gmail.com
Real Estate,Properties for rent,Aug 3,3 Bedroom Apartment For Rent By Owner,3BR / 1Ba,1400,,New York,"(Newark, NJ)",Apartment,(225)654-9103,Isaias,Isaias@gmail.com
Real Estate,Properties for rent,Aug 3,3-Bedroom Apartment For Rent By Owner,3BR / 1Ba,1400,,New York,"(Newark, NJ)",Apartment,(225)654-9104,Thaddeus,Thaddeus@gmail.com
Real Estate,Properties for rent,Aug 3,3-Bedroom Apartment For Rent By Owner,3BR / 1Ba,1400,,New York,"(Newark, NJ)",Apartment,(225)654-9105,Kasey,Kasey@gmail.com
Real Estate,Properties for rent,Aug 3,2 Bedroom boxed Apartment For Rent,2BR / 1Ba,1700,,New York,(ridgewood),Apartment,(225)654-9106,Abram,Abram@gmail.com
Real Estate,Properties for rent,Aug 3,Huge Gorgeous 1 Bedroom Apartment for RENT (SW),1BR / 1Ba,2000,,New York,(Metropolitan ave),Apartment,(225)654-9107,Cullen,Cullen@gmail.com
Real Estate,Properties for rent,Aug 3,2 Bedroom boxed Apartment For Rent,2BR / 1Ba,1900,,New York,(glendale),Apartment,(225)654-9108,Pierre,Pierre@gmail.com
Real Estate,Properties for rent,Aug 3,1Bedroom boxed Apartment For Rent,2BR / 1Ba,1500,,New York,(woodhaven),Apartment,(225)654-9109,Emerson,Emerson@gmail.com
Real Estate,Properties for rent,Aug 3,"--Students New Apartment For Rent in Brooklyn, NY",5BR / 2Ba,950,,New York,(640 68th st),Apartment,(225)654-9110,Aldo,Aldo@gmail.com
Real Estate,Properties for rent,Aug 3,1br Sunny Apartment For Rent Near All (Sunset Park) (,,1600,,New York,(Sunset park 43rd st and 8 ave),Apartment,(225)654-9111,Orion,Orion@gmail.com
Real Estate,Properties for rent,Aug 3,Apartment for Rent-Clinton Hill,2BR / 1Ba,2100,,New York,(545 Myrtle Ave),Apartment,(225)654-9112,Ezequiel,Ezequiel@gmail.com
Real Estate,Properties for rent,Aug 3,Room for Rent in 4 Bedroom Apartment - Astoria,,900,,New York,,Apartment,(225)654-9113,Gunnar,Gunnar@gmail.com
Real Estate,Properties for rent,Aug 3,Nice Studio Apartment for Rent By Owner,0BR / 1Ba,2295,,New York,(Midtown West),Apartment,(225)654-9114,Ignacio,Ignacio@gmail.com
Real Estate,Properties for rent,Aug 3,Nice Studio Apartment for Rent By Owner,0BR / 1Ba,2295,,New York,(Midtown West),Apartment,(225)654-9115,Guadalupe,Guadalupe@gmail.com
Real Estate,Properties for rent,Aug 3,Nice Apartment for Rent By Owner,1BR / 1Ba,2750,,New York,(West Village),Apartment,(225)654-9116,Ari,Ari@gmail.com
Real Estate,Properties for rent,Aug 3,Two(2) bedroom apartment available for rent,2BR / 1Ba,1500,,New York,(Church Avenue),Apartment,(225)654-9117,Tevin,Tevin@gmail.com
Real Estate,Properties for rent,Aug 3,Apartment for Rent - Pelham Bay,2BR / 1Ba,2000,850,New York,(Pelham Bay),Apartment,(225)654-9118,River,River@gmail.com
Real Estate,Properties for rent,Aug 3,Year Round Sag Harbor Village Co-Op Apartment for Rent - Walk to town,1BR / 1Ba,3150,850,New York,(Sag Harbor Village),Apartment,(225)654-9119,Moshe,Moshe@gmail.com
Real Estate,Properties for rent,Aug 3,Large 3 Br. Apartment for Rent,3BR / 1.5Ba,2400,,New York,(Howard Beach/Lindenwood),Apartment,(225)654-9120,Davion,Davion@gmail.com
Real Estate,Properties for rent,Aug 3,"Greenwich, CT 3rd Floor Apartment for Rent",1BR / 1Ba,2200,,New York,(Greenwich),Apartment,(225)654-9121,Nigel,Nigel@gmail.com
Real Estate,Properties for rent,Aug 3,Apartment for Rent,,3000,,New York,(Bergen Beach),Apartment,(225)654-9122,Anton,Anton@gmail.com
Real Estate,Properties for rent,Aug 3,"1 bedroom apartment for rent in Bronx -1,475",1BR / 1Ba,1475,,New York,,Apartment,(225)654-9123,Triston,Triston@gmail.com
Real Estate,Properties for rent,Aug 3,City Island Apartment for Rent,3BR / 2Ba,2000,1000,New York,(City Island),Apartment,(225)654-9124,Devonte,Devonte@gmail.com
Real Estate,Properties for rent,Aug 3,Apartment for Rent,2BR / 1Ba,2600,750,New York,(Greenpoint),Apartment,(225)654-9125,Stacy,Stacy@gmail.com
Real Estate,Properties for rent,Aug 3,Apartment for Rent,2BR / 1Ba,2600,750,New York,(Greenpoint),Apartment,(225)654-9126,Adolfo,Adolfo@gmail.com
Real Estate,Properties for rent,Aug 3,Apartment for rent in Waterfront Building next to Park (718) 373-7700,0BR / 1Ba,1445,,New York,(Bensonhurst),Apartment,(225)654-9127,Lionel,Lionel@gmail.com
Real Estate,Properties for rent,Aug 3,Walk to Town! Central Ridgefield Apartment for Rent,0BR / 1Ba,1200,,New York,,Apartment,(225)654-9128,King,King@gmail.com
Real Estate,Properties for rent,Aug 3,Apartment For Rent,0BR / 1Ba,2900,1500,New York,(Greenwich Village),Apartment,(225)654-9129,Cecil,Cecil@gmail.com
Real Estate,Properties for rent,Aug 3,"Stunning apartment for rent, Newly renovated modern apartment 4 bed",,3600,,New York,(Inwood / Wash Hts),Apartment,(225)654-9130,Agustin,Agustin@gmail.com
Real Estate,Properties for rent,Aug 3,Fantastic offer! Newly renovated modern apartment is finally for rent,,2795,,New York,(Inwood / Wash Hts),Apartment,(225)654-9131,Jaron,Jaron@gmail.com
Real Estate,Properties for rent,Aug 3,APARTMENT FOR RENT,3BR / 1Ba,2100,,New York,"(BROWNSVILLE, BROOKLYN)",Apartment,(225)654-9132,Winston,Winston@gmail.com
Real Estate,Properties for rent,Aug 3,Astoria a 1 bedroom apartment for rent,1BR / 0Ba,1900,,New York,,Apartment,(225)654-9133,Deangelo,Deangelo@gmail.com
Real Estate,Properties for rent,Aug 3,Apartment For Rent,3BR / 1Ba,2400,,New York,(maspeth),Apartment,(225)654-9134,Zayden,Zayden@gmail.com
Real Estate,Properties for rent,Aug 3,Nice Studio Apartment for Rent By Owner,0BR / 1Ba,2295,,New York,(Midtown West),Apartment,(225)654-9135,Myron,Myron@gmail.com
Real Estate,Properties for rent,Aug 3,Nice Studio Apartment for Rent By Owner,0BR / 1Ba,2295,,New York,(West Village),Apartment,(225)654-9136,Korey,Korey@gmail.com
Real Estate,Properties for rent,Aug 3,Nice Studio Apartment for Rent By Owner,0BR / 1Ba,2499,,New York,(Upper East Side),Apartment,(225)654-9137,Jamel,Jamel@gmail.com
Real Estate,Properties for rent,Aug 3,Nice Studio Apartment for Rent By Owner,0BR / 1Ba,2295,,New York,(Midtown West),Apartment,(225)654-9138,Kolton,Kolton@gmail.com
Real Estate,Properties for rent,Aug 3,Nice Studio Apartment for Rent By Owner,0BR / 1Ba,2295,,New York,(Midtown West),Apartment,(225)654-9139,Marcel,Marcel@gmail.com
Real Estate,Properties for rent,Aug 3,Nice Studio Apartment for Rent By Owner,0BR / 1Ba,2295,,New York,(Midtown West),Apartment,(225)654-9140,Maverick,Maverick@gmail.com
Real Estate,Properties for rent,Aug 3,For Rent - 4BR Apartment - Newly Renovated - Available Now,,,,New York,(35 Academy Ln),Apartment,(225)654-9141,Kieran,Kieran@gmail.com
Real Estate,Properties for rent,Aug 3,1 Bedroom on 2nd Floor Apartment For Rent!!!! Unit #2456,,1600,,New York,(Freeport),Apartment,(225)654-9142,Phoenix,Phoenix@gmail.com
Real Estate,Properties for rent,Aug 3,Room for rent in spacious & relaxing apartment on the UES! (Female),,1475,850,New York,(Upper East Side),Apartment,(225)654-9143,Hugh,Hugh@gmail.com
Real Estate,Properties for rent,Aug 3,Two Bedroom Apartment For Rent in Rego Park,2BR / 1Ba,2250,,New York,(Rego Park),Apartment,(225)654-9144,Sonny,Sonny@gmail.com
Real Estate,Properties for rent,Aug 3,Two Bedroom Apartment For Rent in South Ozone Park,2BR / 1Ba,2000,,New York,(South Ozone Park),Apartment,(225)654-9145,Elvis,Elvis@gmail.com
Real Estate,Properties for rent,Aug 3,Two Bedroom Apartment For Rent in Maspeth,2BR / 1Ba,2500,,New York,(Maspeth),Apartment,(225)654-9146,Jett,Jett@gmail.com
Real Estate,Properties for rent,Aug 3,"1 bedroom for rent in 3 bed/2 bath apartment, in unit W/D SEPTEMBER 1",3BR / 2Ba,1650,1250,New York,(Upper West Side),Apartment,(225)654-9147,Benny,Benny@gmail.com
Real Estate,Properties for rent,Aug 3,LUXURY 1 Bedroom Apartment for Rent,1BR / 0Ba,1950,,New York,(4808 Bedford Ave),Apartment,(225)654-9148,Maximiliano,Maximiliano@gmail.com
Real Estate,Properties for rent,Aug 3,Apartment for rent,,1750,,New York,(Farmingdale),Apartment,(225)654-9149,Dayton,Dayton@gmail.com
Real Estate,Properties for rent,Aug 3,1000 - utilities included one room in two bedroom apartment for rent,,1000,,New York,(BROOKLYN),Apartment,(225)654-9150,Vance,Vance@gmail.com
Real Estate,Properties for rent,Aug 3,apartment for rent /furnished/ short term,1BR / 0Ba,1450,,New York,,Apartment,(225)654-9151,Cristopher,Cristopher@gmail.com
Real Estate,Properties for rent,Aug 3,Room for rent in 3 bedroom Williamsburg apartment,,900,,New York,(Williamsburg (Close to L train)),Apartment,(225)654-9152,Royce,Royce@gmail.com
Real Estate,Properties for rent,Aug 3,1 bedroom apartment for rent in Old Greenwich,1BR / 1Ba,2250,950,New York,"(Old Greenwich, CT)",Apartment,(225)654-9153,Tom,Tom@gmail.com
Real Estate,Properties for rent,Aug 3,"Large 4 Bedrooms, 1Bath apartment for rent",4BR / 1Ba,2600,,New York,(6th ave// 59th St),Apartment,(225)654-9154,Deven,Deven@gmail.com
Real Estate,Properties for rent,Aug 3,Apartment for rent,2BR / 1Ba,2000,875,New York,(Stamford ct),Apartment,(225)654-9155,Marty,Marty@gmail.com
Real Estate,Properties for rent,Aug 3,LG sunny Ridgewood Apartment for rent - 3 bedrooms - 2400,3BR / 1Ba,2400,,New York,"(Ridgewood, NY)",Apartment,(225)654-9156,Chester,Chester@gmail.com
Real Estate,Properties for rent,Aug 3,Renovated 1 Bed Apartment For Rent 1700 Near Subway,1BR / 1Ba,1700,,New York,(Jamaica),Apartment,(225)654-9157,Muhammad,Muhammad@gmail.com
Real Estate,Properties for rent,Aug 3,3 Bedroom -2nd Floor Apartment For Rent,3BR / 1Ba,2100,,New York,(South Ozone Park),Apartment,(225)654-9158,Kolby,Kolby@gmail.com
Real Estate,Properties for rent,Aug 3,3 BEDROOM APARTMENT FOR RENT HARLEM NYC,3BR / 0Ba,3900,,New York,(Harlem),Apartment,(225)654-9159,Rusty,Rusty@gmail.com
Real Estate,Properties for rent,Aug 3,Prewar greenwich village apartment for rent,2BR / 1.5Ba,5495,,New York,(Greenwich Village),Apartment,(225)654-9160,Milo,Milo@gmail.com
Real Estate,Properties for rent,Aug 3,1480 Room for rent ASAP in HUGE Midtown 2-Bed apartment,,1480,1200,New York,(Midtown West),Apartment,(225)654-9161,Trace,Trace@gmail.com
Real Estate,Properties for rent,Aug 3,2BR 1 bath 1950 renovated apartment for rent,,1950,1000,New York,(Sheepshead Bay),Apartment,(225)654-9162,Jaquan,Jaquan@gmail.com
Real Estate,Properties for rent,Aug 3,Apartment for rent,2BR / 1Ba,1900,,New York,(E Flatbush),Apartment,(225)654-9163,Asa,Asa@gmail.com
Real Estate,Properties for rent,Aug 3,4 bedroom apartment for rent,4BR / 2Ba,2100,1000,New York,(Bridgeport),Apartment,(225)654-9164,Jamari,Jamari@gmail.com
Real Estate,Properties for rent,Aug 3,Apartment for rent No Fee,4BR / 1Ba,3400,,New York,(Ocean Hill),Apartment,(225)654-9165,Kane,Kane@gmail.com
Real Estate,Properties for rent,Aug 3,Apartment for rent No Fee,2BR / 1Ba,2500,,New York,(Ridgewood),Apartment,(225)654-9166,Irvin,Irvin@gmail.com
Real Estate,Properties for rent,Aug 3,Apartment for rent No Fee Dulpex,3BR / 1.5Ba,3800,,New York,(Ridgewood),Apartment,(225)654-9167,Coleman,Coleman@gmail.com
Real Estate,Properties for rent,Aug 3,Apartment for rent,2BR / 1Ba,1999,,New York,(Ridgewood),Apartment,(225)654-9168,Randolph,Randolph@gmail.com
Real Estate,Properties for rent,Aug 3,Apartment for rent No Fee,3BR / 1.5Ba,2950,,New York,(Crown Hieghts),Apartment,(225)654-9169,Santos,Santos@gmail.com
Real Estate,Properties for rent,Aug 3,Apartment for rent,2BR / 1Ba,2000,,New York,(Middle Village),Apartment,(225)654-9170,Ellis,Ellis@gmail.com
Real Estate,Properties for rent,Aug 3,Apartment for Rent NO FEE Penthouse,3BR / 1Ba,2800,,New York,(Flatbush),Apartment,(225)654-9171,Marquise,Marquise@gmail.com
Real Estate,Properties for rent,Aug 3,Apartment for rent NO FEE,2BR / 1Ba,1795,,New York,(E Flatbush),Apartment,(225)654-9172,Robbie,Robbie@gmail.com
Real Estate,Properties for rent,Aug 3,"Apartment for rent, NO FEE",3BR / 1Ba,2499,,New York,(Kensington),Apartment,(225)654-9173,Addison,Addison@gmail.com
Real Estate,Properties for rent,Aug 3,Apartment for rent,1BR / 1Ba,1900,,New York,(Bed Stuy),Apartment,(225)654-9174,Rigoberto,Rigoberto@gmail.com
Real Estate,Properties for rent,Aug 3,"Apartment for rent, Private Garden",2BR / 1Ba,2500,,New York,(Ridgewood),Apartment,(225)654-9175,Gideon,Gideon@gmail.com
Real Estate,Properties for rent,Aug 3,Apartment for rent Duplex with Garden,4BR / 2Ba,4795,1600,New York,(Williamsburg),Apartment,(225)654-9176,Nasir,Nasir@gmail.com
Real Estate,Properties for rent,Aug 3,Apartment for rent,2BR / 1Ba,1999,,New York,(Bed Stuy),Apartment,(225)654-9177,Cohen,Cohen@gmail.com
Real Estate,Properties for rent,Aug 3,STUDIO APARTMENT FOR RENT,0BR / 1Ba,1300,,New York,"(Jamaica, Queens)",Apartment,(225)654-9178,Nathanial,Nathanial@gmail.com
Real Estate,Properties for rent,Aug 3,LARGE Studio Apartment for rent- Forest Hills 71Ave,0BR / 1Ba,1850,620,New York,(Forest Hills),Apartment,(225)654-9179,Bill,Bill@gmail.com
Real Estate,Properties for rent,Aug 3,"Apartment For Rent, Walking Distance To St. John's University!",3BR / 2Ba,3100,,New York,(Jamaica Estates),Apartment,(225)654-9180,Ulises,Ulises@gmail.com
Real Estate,Properties for rent,Aug 3,Available now: Room for rent in a 2 bedroom 1 bath apartment,2BR / 1Ba,1000,100,New York,(35 River Drive South),Apartment,(225)654-9181,Karson,Karson@gmail.com
Real Estate,Properties for rent,Aug 3,Available now: Room for rent in a 2 bedroom 1 bath apartment,,1000,100,New York,(35 River Drive South),Apartment,(225)654-9182,Amos,Amos@gmail.com
Real Estate,Properties for rent,Aug 3,One bedroom apartment for rent,,1300,,New York,(Willowbrook),Apartment,(225)654-9183,Izaiah,Izaiah@gmail.com
Real Estate,Properties for rent,Aug 3,1 bedroom apartment for rent by owner,1BR / 0Ba,1450,700,New York,(Bronx),Apartment,(225)654-9184,Bryon,Bryon@gmail.com
Real Estate,Properties for rent,Aug 3,Room in light-filled apartment for rent!,,775,,New York,(Bed-Stay),Apartment,(225)654-9185,Talon,Talon@gmail.com
Real Estate,Properties for rent,Aug 3,"Beautiful 2nd Floor Apartment For Rent 1,100 Sqft",2BR / 1Ba,2300,1100,New York,(Stamford),Apartment,(225)654-9186,Ibrahim,Ibrahim@gmail.com
Real Estate,Properties for rent,Aug 3,Available now: Room for rent in a 2 bedroom 1 bath apartment,,1000,100,New York,(35 River Drive South),Apartment,(225)654-9187,Yahir,Yahir@gmail.com
Real Estate,Properties for rent,Aug 3,"Willing to pay 10,000 finder's fee for rent controlled apartment",,,,New York,(Midtown),Apartment,(225)654-9188,Wendell,Wendell@gmail.com
Real Estate,Properties for rent,Aug 3,1 bedroom apartment for rent by owner,1BR / 0Ba,1450,700,New York,(Bronx),Apartment,(225)654-9189,Chaz,Chaz@gmail.com
Real Estate,Properties for rent,Aug 3,1 bedroom apartment for rent by owner,1BR / 0Ba,1450,700,New York,(Bronx),Apartment,(225)654-9190,Kristofer,Kristofer@gmail.com
Real Estate,Properties for rent,Aug 3,"ID#: 1322648, Lovely 2 Bedroom Apartment For Rent In Oakland Garden",2BR / 1Ba,2050,,New York,(Oakland Garden),Apartment,(225)654-9191,Otis,Otis@gmail.com
Real Estate,Properties for rent,Aug 3,"room for rent in clean, new UES apartment",,1685,120,New York,(Upper East Side),Apartment,(225)654-9192,Shayne,Shayne@gmail.com
Real Estate,Properties for rent,Aug 3,"room for rent in clean, new UES apartment",,1685,120,New York,(Upper East Side),Apartment,(225)654-9193,Davin,Davin@gmail.com
Real Estate,Properties for rent,Aug 3,Apartment for rent,,1600,,New York,(jamaica),Apartment,(225)654-9194,Alton,Alton@gmail.com
Real Estate,Properties for rent,Aug 3,Apartment for rent,3BR / 1Ba,2500,,New York,(5 Hempstead Ave RVC),Apartment,(225)654-9195,Jadon,Jadon@gmail.com
Real Estate,Properties for rent,Aug 3,Apartment for rent,,1600,,New York,(jamaica),Apartment,(225)654-9196,Jaylin,Jaylin@gmail.com
Real Estate,Properties for rent,Aug 3,Amazing Apartment for Rent in Williamsburg,3BR / 1Ba,3300,,New York,(Brooklyn),Apartment,(225)654-9197,Jax,Jax@gmail.com
Real Estate,Properties for rent,Aug 3,Seeking 1 Bedroom Apartment for rent,,,,New York,(Bronx),Apartment,(225)654-9198,Elmer,Elmer@gmail.com
Real Estate,Properties for rent,Aug 3,Quiet and homely - One bedroom extremely personal Apartment for rent,1BR / 1Ba,1680,650,New York,(Stamford),Apartment,(225)654-9199,Jairo,Jairo@gmail.com
Real Estate,Properties for rent,Aug 3,Sunnyside Gardens Historic District Apartment APT Townhouse for Rent,2BR / 1Ba,3500,,New York,(46th st & Skillman Ave),Apartment,(225)654-9200,Mekhi,Mekhi@gmail.com
Real Estate,Properties for rent,Aug 3,Upper Manhattan Renovated Apartment for Rent 212-222-9754,1BR / 1Ba,1750,,New York,(Upper Manhattan),Apartment,(225)654-9201,Junior,Junior@gmail.com
Real Estate,Properties for rent,Aug 3,Apartment for rent in Waterfront Building next to Park (718) 373-7700,0BR / 1Ba,1445,,New York,(Bensonhurst),Apartment,(225)654-9202,Brycen,Brycen@gmail.com
Real Estate,Properties for rent,Aug 3,2 bedroom apartment for rent,2BR / 1Ba,1950,1000,New York,(Thornwood),Apartment,(225)654-9203,Denzel,Denzel@gmail.com
Real Estate,Properties for rent,Aug 3,Apartment for rent,2BR / 1Ba,1950,1200,New York,(Thornwood),Apartment,(225)654-9204,Tristin,Tristin@gmail.com
Real Estate,Properties for rent,Aug 3,1 bedroom apartment for rent,1BR / 1Ba,2000,1060,New York,(FOREST HILLS),Apartment,(225)654-9205,Darien,Darien@gmail.com
Real Estate,Properties for rent,Aug 3,2 Bedroom Apartment for Rent in Fresh Meadows!,2BR / 1Ba,2500,,New York,(Fresh Meadows),Apartment,(225)654-9206,Jaylon,Jaylon@gmail.com
Real Estate,Properties for rent,Aug 3,Beautiful apartment for rent with all utilities included,3BR / 2Ba,2600,,New York,,Apartment,(225)654-9207,Prince,Prince@gmail.com
Real Estate,Properties for rent,Aug 3,Studio apartment for rent by OWNER(no rental fee),0BR / 1Ba,1550,,New York,(Astoria/LIC),Apartment,(225)654-9208,Jerrod,Jerrod@gmail.com
Real Estate,Properties for rent,Aug 3,Beautiful 1Bed/1Bath Apartment For Rent,1BR / 1Ba,2500,789,New York,(Midtown),Apartment,(225)654-9209,Porter,Porter@gmail.com
Real Estate,Properties for rent,Aug 3,Apartment for rent/LIC,,1599,750,New York,(31st street),Apartment,(225)654-9210,Stewart,Stewart@gmail.com
Real Estate,Properties for rent,Aug 3,Beautiful apartment for rent on E14th & Kings Highway,2BR / 2Ba,2499,1000,New York,"(Kings Highway, Midwood)",Apartment,(225)654-9211,Jovan,Jovan@gmail.com
Real Estate,Properties for rent,Aug 3,Beautiful apartment for rent on E14th & Kings Highway,2BR / 2Ba,2499,1000,New York,"(Kings Highway, Midwood)",Apartment,(225)654-9212,Dusty,Dusty@gmail.com
Real Estate,Properties for rent,Aug 3,Beautiful apartment for rent on E14th & Kings Highway,2BR / 2Ba,2499,1000,New York,"(Kings Highway, Midwood)",Apartment,(225)654-9213,Lyle,Lyle@gmail.com
Real Estate,Properties for rent,Aug 3,1 Bedroom for Rent in Sunny Greenpoint Apartment,,1000,900,New York,(Greenpoint),Apartment,(225)654-9214,Ron,Ron@gmail.com
Real Estate,Properties for rent,Aug 3,Apartment For Rent 2400,4BR / 2Ba,2400,,New York,(Rosedale),Apartment,(225)654-9215,Elisha,Elisha@gmail.com
Real Estate,Properties for rent,Aug 3,Studio apartment in Journal Square for rent for 2 weeks,0BR / 1Ba,1300,,New York,(Journal Square),Apartment,(225)654-9216,Johan,Johan@gmail.com
Real Estate,Properties for rent,Aug 3,Studio Apartment for Rent,0BR / 1Ba,1175,,New York,"(Monroe, CT)",Apartment,(225)654-9217,Rohan,Rohan@gmail.com
Real Estate,Properties for rent,Aug 3,3 Bedroom 3 bath apartment for rent,3BR / 3Ba,3200,1450,New York,(bayside),Apartment,(225)654-9218,Gregg,Gregg@gmail.com
Real Estate,Properties for rent,Aug 3,STUDIO APARTMENT FOR RENT,,1400,,New York,(Astoria),Apartment,(225)654-9219,Jacoby,Jacoby@gmail.com
Real Estate,Properties for rent,Aug 3,HUGE ONE BEDROOM APARTMENT FOR RENT,1BR / 1Ba,1500,,New York,(BRONX),Apartment,(225)654-9220,Remington,Remington@gmail.com
Real Estate,Properties for rent,Aug 3,HUGE ONE BEDROOM APARTMENT FOR RENT,1BR / 1Ba,1588,,New York,(BRONX),Apartment,(225)654-9221,Donnell,Donnell@gmail.com
Real Estate,Properties for rent,Aug 3,★NICE BIG DUPLEX APARTMENT/3 BED /SUPER COZY ★FOR RENT,3BR / 1Ba,3499,,New York,(WIlliamsburg),Apartment,(225)654-9222,Cortez,Cortez@gmail.com
Real Estate,Properties for rent,Aug 3,✅GORGEOUS APARTMENT FOR RENT ✅NO FEE ✅4 BED /1.5BATH/ PET FRIE,4BR / 1.5Ba,3399,,New York,(RIDGEWOOD),Apartment,(225)654-9223,Bo,Bo@gmail.com
Real Estate,Properties for rent,Aug 3,✅GORGEOUS APARTMENT FOR RENT ✅NO FEE ✅4 BED /1.5BATH,4BR / 1.5Ba,3399,,New York,(RIDGEWOOD),Apartment,(225)654-9224,Sage,Sage@gmail.com
Real Estate,Properties for rent,Aug 3,NO FEE/ /PET FRIENDLY/ 4 BED /*1.5 BATH / FOR RENT YOUR NEXT APARTMENT,4BR / 1.5Ba,3399,,New York,(RIDGEWOOD),Apartment,(225)654-9225,Octavio,Octavio@gmail.com
