Industry,Category,Description,Bedrooms/Baths,Price,Size,State,Location,Housing Type,Telephone,Contact Person,Email
Real Estate,Properties for rent,5BR/2.5 BATH. ALL INCLUDED. FULLY RENOVATED. NO FEE! BY OWNER!,5BR / 2.5Ba,10300,3400,NY,(Midtown West),Apartment,(206) 200-0403,Clyde,Clyde@gmail.com
Real Estate,Properties for rent,BEST DEAL! 1BR/1BATH FULLY RENOVATED. NOFEE. ALL NEW. WORKING FIRE PLA,1BR / 1Ba,3725,600,NY,(Midtown West),Apartment,(206) 200-0405,Ernesto,Ernesto@gmail.com
Real Estate,Properties for rent,1B/1.5 Bath Available. Schedule an appointment today!,1BR / 1.5Ba,3615,880,NY,(Hoboken),Apartment,(206) 200-0408,Tommy,Tommy@gmail.com
Real Estate,Properties for rent,All apartments feature♥gourmet kitchens with stainless steel applia,1BR / 1Ba,3400,,NY,(Williamsburg),Apartment,(206) 200-0413,Casen,Casen@gmail.com
Real Estate,Properties for rent,CRAZY DEAL! 2BR /2BATH ALL AMENITIES INCLUDED. NO FEE. PRIME LOCATION,2BR / 2Ba,5600,1500,NY,(Upper East Side),Apartment,(206) 200-0415,Ford,Ford@gmail.com
Real Estate,Properties for rent,"GORGEOU@S PH, 3BR/2BATH. PRIVATE ROOF DECK. ALL AMENITIES INCLUDED",3BR / 2Ba,13500,1600,NY,(Upper East Side),Apartment,(206) 200-0091,Crew,Crew@gmail.com
Real Estate,Properties for rent,"@%1 Bed / 1 Bath at 1409 Fulton St, Brooklyn, NY 11216☻☻♣",1BR / 1Ba,2538,,NY,(Bed-Stuy),Apartment,(206) 200-0092,Braydon,Braydon@gmail.com
Real Estate,Properties for rent,Spacious three bedroom apartment for rent: All utilities are included!,3BR / 1Ba,2700,,NY,(Minutes from the VZ Bridge),Apartment,(206) 200-0095,Brecken,Brecken@gmail.com
Real Estate,Properties for rent,2BR/1BATH. ALL NEW KITCHEN. NEW BATHROOMS. NO FEE!! BY OWNER!,2BR / 1Ba,4300,920,NY,(East Village),Apartment,(206) 200-0401,Hassan,Hassan@gmail.com
Real Estate,Properties for rent,1BR/1BATH . PRIME SOHO. LARGE 1BEDROOM . ALL NEW KITCHEN . SUPER LIVE,1BR / 1Ba,3850,780,NY,(SoHo),Apartment,(206) 200-0402,Axl,Axl@gmail.com
Real Estate,Properties for rent,AMAZING 2BR/2BATH . W/D IN UNIT. ALL NEW DEVELOPMENT. 2 BALCONIES,2BR / 2Ba,8300,1200,NY,(East Village),Apartment,(206) 200-0403,Boone,Boone@gmail.com
Real Estate,Properties for rent,"3BR/2 BATH. ALL AMITIES INCLUDED . GYM , SUPER, ROOFTOP, LAUNDRY ROOM",3BR / 2Ba,6500,1700,NY,(Midtown East),Apartment,(206) 200-0405,Leandro,Leandro@gmail.com
Real Estate,Properties for rent,"4BR/3BATH /2 TERRACE. STUNING ,MASSIVE ROOMS! BY OWNER, ALL INCLUDED",4BR / 3Ba,12900,2100,NY,(Upper East Side),Apartment,(206) 200-0408,Samir,Samir@gmail.com
Real Estate,Properties for rent,2BR/1BATH PRIVATE PATIO! PRIME LOCATION! MASSIVE ROOF DECK. NO FEE,2BR / 1Ba,4995,1010,NY,(East Village),Apartment,(206) 200-0413,Jaziel,Jaziel@gmail.com
Real Estate,Properties for rent,4BR/3.5 BATH. GORGEOUS VIEWS ! FULLY RENOVATED! BY OWNER,4BR / 3.5Ba,14500,2400,NY,(Upper East Side),Apartment,(206) 200-0415,Magnus,Magnus@gmail.com
Real Estate,Properties for rent,"5BR/3BATH BY OWNER!! MASSIVE 4,000SF! ALL NEW RENOVATED, ALL INCLUDED",5BR / 3Ba,11400,4000,NY,(Midtown West),Apartment,(206) 200-0091,Abdullah,Abdullah@gmail.com
Real Estate,Properties for rent,MASSIVE FULL OF LIGHT STUDIO! NO FEE! NEW W/D. ALL INCLUDED! NEW KITCH,0BR / 1Ba,3450,500,NY,(West Village),Apartment,(206) 200-0092,Yousef,Yousef@gmail.com
Real Estate,Properties for rent,2BR/1BATH HUGE LIVING ROOMS AND BEDROOMS! NO FEE BY OWNER! ELEVATOR,2BR / 1Ba,4400,1010,NY,(SoHo),Apartment,(206) 200-0095,Branson,Branson@gmail.com
Real Estate,Properties for rent,2 BED + 1 BATH___DOORMAN___LAUNDRY___PET SPA___GYM___ELEVATOR___MORE,2BR / 1Ba,3099,,NY,(RIDGEWOOD),Apartment,(206) 200-0401,Jadiel,Jadiel@gmail.com
Real Estate,Properties for rent,"2BR/1BATH . POOL BY THE ROOF. ,DOORMAN, PARKING , RIVER VIEWS",2BR / 1Ba,4000,900,NY,(Midtown East),Apartment,(206) 200-0402,Jaxen,Jaxen@gmail.com
Real Estate,Properties for rent,AVAILABLE FOR R E N T 2-B e d r o o m h o u s e,2BR / 1Ba,1800,1650,NY,(Forest and Broadway),Apartment,(206) 200-0403,Layton,Layton@gmail.com
Real Estate,Properties for rent,BLOWOUT RATES!!! 500 OFF FIRST MONTH,0BR / 1Ba,1742,700,NY,,Apartment,(206) 200-0405,Franco,Franco@gmail.com
Real Estate,Properties for rent,3BR/2BATH LARGE LIVING ROOM. 2FUUL ALL NEW BATHROOMS! SUPER LIVE IN,3BR / 2Ba,5150,1000,NY,(Midtown East),Apartment,(206) 200-0408,Ben,Ben@gmail.com
Real Estate,Properties for rent,1BR/1BATH MASSIVE UNIT. CLASSIC LAYOUT . WORKING FIREPLACE! ALL INCLUD,1BR / 1Ba,4050,1000,NY,(Midtown West),Apartment,(206) 200-0413,Grey,Grey@gmail.com
Real Estate,Properties for rent,"LARGE 1BR, FULLY RENOVATED . ALL NEW, BE THE FIRST TO LIVE IN. PRIME",1BR / 1Ba,4170,900,NY,(Midtown West),Apartment,(206) 200-0415,Kelvin,Kelvin@gmail.com
Real Estate,Properties for rent,"GORGEOUS 1BR FULLY RENOVATED. NO FEE, BE THE 1ST TO LIVE IN. ALL AMENI",1BR / 1Ba,3700,580,NY,(Midtown West),Apartment,(206) 200-0091,Chaim,Chaim@gmail.com
Real Estate,Properties for rent,1BE/1BATH WITH PRIVET GARDEN . NO FEE! BY OWNER! PRIME LOCATION,1BR / 1Ba,3100,800,NY,(Midtown East),Apartment,(206) 200-0092,Demetrius,Demetrius@gmail.com
Real Estate,Properties for rent,NO FEE! MASSIVE LUXURY WITH PRIVATE PATIO 2BR/1BATH! ALL INCLUDED!1,2BR / 1Ba,4999,1000,NY,(East Village),Apartment,(206) 200-0095,Blaine,Blaine@gmail.com
Real Estate,Properties for rent,HUGE 1BR /1BATH. PRIVATE PATIO. NO FEE. BY OWNER!! ALL INCLUDED . MASS,1BR / 1Ba,3100,900,NY,(Midtown East),Apartment,(206) 200-0401,Ridge,Ridge@gmail.com
Real Estate,Properties for rent,GIANT 4BR!~ FULLY RENOVATED! ALL NEW KITCHEN! LARGE BEDROOMS .,4BR / 2Ba,9000,3500,NY,(Midtown West),Apartment,(206) 200-0402,Colson,Colson@gmail.com
Real Estate,Properties for rent,Huge APT full of Light~~Laundry!Big bedrooms!♥♥,4BR / 1Ba,3400,,NY,(Ridgewood),Apartment,(206) 200-0403,Melvin,Melvin@gmail.com
Real Estate,Properties for rent,"Barnwood-style Plank Flooring, On-Site Management, Ice Maker",,3205,590,NY,(Financial District),Apartment,(206) 200-0405,Anakin,Anakin@gmail.com
Real Estate,Properties for rent,LARGE STUDIO WITH SLEEPING LOFT! MASSIVE SPACE ! FULLY RENOVATED!NOFEE,0BR / 1Ba,3575,,NY,(West Village),Apartment,(206) 200-0408,Aryan,Aryan@gmail.com
Real Estate,Properties for rent,"2BR/1BATH . POOL BY THE ROOF. ,DOORMAN, PARKING , RIVER VIEWS",2BR / 1Ba,4000,900,NY,(Midtown East),Apartment,(206) 200-0413,Lochlan,Lochlan@gmail.com
Real Estate,Properties for rent,"PRIVATE ROOFDECK. NO FEE, W/D ,2BR/1BATH. ALL INCLUDED . SUPER LIVE IN",2BR / 1Ba,4100,1000,NY,(West Village),Apartment,(206) 200-0415,Jon,Jon@gmail.com
Real Estate,Properties for rent,"MASSIVE~~ 1BR/1BATH. PRIVATE GARDEN. ELEVATOR, V-DOORMAN. ALL INCLUDED",1BR / 1Ba,3200,700,NY,(Midtown East),Apartment,(206) 200-0091,Canaan,Canaan@gmail.com
Real Estate,Properties for rent,2BR/2BATH. MASSIVE UNIT. ALL AMENITIES INCLUDED! NO FEE! SUPER LIVE,2BR / 2Ba,7300,1490,NY,(Upper West Side),Apartment,(206) 200-0092,Dash,Dash@gmail.com
Real Estate,Properties for rent,Huge 5BR 2Bath w/ yard! Prime♦ location! Must see! @,5BR / 2Ba,4399,,NY,"(Bushwick @ Gates J,Z)",Apartment,(206) 200-0095,Zechariah,Zechariah@gmail.com
Real Estate,Properties for rent,"3BR/3BATH GREAT LOCATION , BEST AMENITIES IN NYC, BEST DEAL",3BR / 3Ba,21000,3000,NY,(Upper East Side),Apartment,(206) 200-0401,Alonso,Alonso@gmail.com
Real Estate,Properties for rent,MASSIVE RENOVATED STUDIO ! NO FEE! PRIME LOCATION. ALL INCLUDED,0BR / 1Ba,3475,520,NY,(West Village),Apartment,(206) 200-0402,Otis,Otis@gmail.com
Real Estate,Properties for rent,AWESOME 4 BR____1.5 BATHS____EXPOSED BRICK____SPACIOUS___,4BR / 1.5Ba,3000,,NY,(Bushwick -L M at Myrtle Wyckoff),Apartment,(206) 200-0403,Zaire,Zaire@gmail.com
Real Estate,Properties for rent,AWESOME 4 BR____1.5 BATHS____EXPOSED BRICK____SPACIOUS___,4BR / 1.5Ba,3000,,NY,(Bushwick -L M at Myrtle Wyckoff),Apartment,(206) 200-0405,Marcel,Marcel@gmail.com
Real Estate,Properties for rent,BEAUTIFUL 3 BR____SPACIOUS ROOMS____1.5 BATHS____ROOF DECK___LAUNDRY__,3BR / 1.5Ba,2800,,NY,(Bushwick -M at Central stop),Apartment,(206) 200-0408,Brett,Brett@gmail.com
Real Estate,Properties for rent,NO FEE! MASSIVE 5BR/2.5 BATH. PRIVATE BACK YARD! PRIME LOCATION!!,5BR / 2.5Ba,9000,,NY,(Lower East Side),Apartment,(206) 200-0413,Stefan,Stefan@gmail.com
Real Estate,Properties for rent,**MASSIVE 3 BEDROOM + 2 FULL BATH APARTMENT IN THE HEART OF BEDSTUY**,3BR / 2Ba,2475,1085,NY,(Bedford-Stuyvesant/BEDSTUY),Apartment,(206) 200-0415,Aldo,Aldo@gmail.com
Real Estate,Properties for rent,2BR/1BATH. ON LEX AVE. ALL AMENITIS INCLUDED. BIG BEDROOMS,2BR / 1Ba,4400,,NY,(Midtown East),Apartment,(206) 200-0091,Jeffery,Jeffery@gmail.com
Real Estate,Properties for rent,"BEAUTIFUL 2BR/1BATH MASSIVE LIVING ROOM. BALCONY, POOL. FREE GYM",2BR / 1Ba,4400,900,NY,(Upper West Side),Apartment,(206) 200-0092,Baylor,Baylor@gmail.com
Real Estate,Properties for rent,"MASSIVE 1BR/1BATH. ALL INCLUDED, BY OWNER! ELEVATOR, NATURAL LIGHT",1BR / 1Ba,2860,700,NY,(Midtown East),Apartment,(206) 200-0095,Talon,Talon@gmail.com
Real Estate,Properties for rent,1BR/1BATH. PRIVATE PATIO! GREAT NATURAL LIGHT! BY OWNER! LAUNDRY IN BL,1BR / 1Ba,3200,780,NY,(Midtown East),Apartment,(206) 200-0401,Dominik,Dominik@gmail.com
Real Estate,Properties for rent,"MASSIVE 2BR/2BATH. ALL AMENITIES INCLUDED! GYM,PARKING,SUPER, ROOFTOP",2BR / 2Ba,5700,1400,NY,(Upper West Side),Apartment,(206) 200-0402,Flynn,Flynn@gmail.com
Real Estate,Properties for rent,Huge Studio inlaw Apartment,1BR / 1Ba,1500,600,NY,(New Fairfield),Apartment,(206) 200-0403,Carmelo,Carmelo@gmail.com
Real Estate,Properties for rent,3 Bedroom Apts For Rent (NO FEE) (Harbor House),3BR / 2Ba,2499,1049,NY,,Apartment,(206) 200-0405,Dane,Dane@gmail.com
Real Estate,Properties for rent,AWESOME LOVELY 3 BR_____LARGE ROOMS____HIGH CELING____SKYLIGHT_____,3BR / 0Ba,2700,,NY,(Bushwick - L at Deklab -M at Central),Apartment,(206) 200-0408,Jamal,Jamal@gmail.com
Real Estate,Properties for rent,~A-M-A-Z-I-N-*G 4br-2BATH apt+DECK♣ -L@Bedford SEP 1 no fee~~~~,4BR / 2Ba,5800,,NY,(WILLIAMSBURG),Apartment,(206) 200-0413,Kole,Kole@gmail.com
Real Estate,Properties for rent,two bedroom one bath,2BR / 1Ba,1650,,NY,(north east bronx area),Apartment,(206) 200-0415,Enoch,Enoch@gmail.com
Real Estate,Properties for rent,""">_ Williamsburg~South 4th~Beautiful "">_ apt~New bldg~Amazing",2BR / 1Ba,4000,,NY,(Williamsburg),Apartment,(206) 200-0091,Graysen,Graysen@gmail.com
Real Estate,Properties for rent,``~This newly renovated apartment has 3 good sized bedrooms ~~!,3BR / 1Ba,3000,,NY,(Bushwick),Apartment,(206) 200-0092,Kye,Kye@gmail.com
Real Estate,Properties for rent,6 CLOSETS!! ----WINDOW IN EVERY ROOM---HUGE CHEF'S KITCHEN - TONS,4BR / 2Ba,5457,1500,NY,(TriBeCa),Apartment,(206) 200-0095,Vicente,Vicente@gmail.com
Real Estate,Properties for rent,AWESOME LOVELY 4 BR____SPACIOUS AND SUNNY______GREAT LOCATION,4BR / 0Ba,3000,,NY,(Bushwick -L at Jefferson),Apartment,(206) 200-0401,Fisher,Fisher@gmail.com
Real Estate,Properties for rent,AWESOME 3 BR____CENTRAL HEAT AC____SKYLIGHT____SPACIOUS ROOMS____,3BR / 0Ba,2350,,NY,(Bushwick/Ridgewood -LM trains),Apartment,(206) 200-0402,Ray,Ray@gmail.com
Real Estate,Properties for rent,Huge three bedroom two baths with formal dining room,3BR / 2Ba,1850,,NY,(north east brox),Apartment,(206) 200-0403,Fox,Fox@gmail.com
Real Estate,Properties for rent,ONE Bedroom in Brand New Beautiful 2 Bedroom Chelsea Apartment!,1BR / 1Ba,2125,,NY,(Chelsea),Apartment,(206) 200-0405,Jamie,Jamie@gmail.com
Real Estate,Properties for rent,BRAND NEW: W/D IN UNIT - BOXING AND YOGA - SKY LOUNGE - GYM - NO FEE,2BR / 1Ba,5100,,NY,(Financial District),Apartment,(206) 200-0408,Rey,Rey@gmail.com
Real Estate,Properties for rent,3 Bedroom Newly Renovated,3BR / 1Ba,2300,,NY,"(Mount Vernon, NY)",Apartment,(206) 200-0413,Zaid,Zaid@gmail.com
Real Estate,Properties for rent,"2BD- Huge Walk-in Closets, W/D, High Ceilings, and Extended Patio!",2BR / 2Ba,3294,1147,NY,,Apartment,(206) 200-0415,Allan,Allan@gmail.com
Real Estate,Properties for rent,"Great renovated STUDIO apt by 2,3,5♣ trains@President==♦=SEP1 ====",0BR / 1Ba,1700,,NY,(CROWN HEIGHTS),Apartment,(206) 200-0091,Emery,Emery@gmail.com
Real Estate,Properties for rent,@@@Beautiful duplex Brownstone apartment☻,3BR / 1.5Ba,3400,,NY,(Bed-Stuy),Apartment,(206) 200-0092,Gannon,Gannon@gmail.com
Real Estate,Properties for rent,Beautifully renovated 2BR Apartment walking distance to work!,2BR / 1Ba,3250,,NY,(Midtown West),Apartment,(206) 200-0095,Joziah,Joziah@gmail.com
Real Estate,Properties for rent,|:| Clinton Hill~Pratt institute |:| 2baths~Spacious~W/D in unit |:|,4BR / 2Ba,4700,,NY,(Clinton Hill),Apartment,(206) 200-0401,Rodney,Rodney@gmail.com
Real Estate,Properties for rent,AMAZING HIGH END 2 BR____BALCONY___EXPOSED BRICK___LAUNDRY___ROOF DECK,2BR / 0Ba,3000,,NY,(Williamsburg - L Lorimer- G Metropolitan),Apartment,(206) 200-0402,Juelz,Juelz@gmail.com
Real Estate,Properties for rent,BEAUTIFUL 3 BR____SPACIOUS ROOMS____1.5 BATHS____ROOF DECK___LAUNDRY__,3BR / 1.5Ba,2800,,NY,(Bushwick -M at Central stop),Apartment,(206) 200-0403,Sonny,Sonny@gmail.com
Real Estate,Properties for rent,BEAUTIFUL 1 BR___SPACIOUS AND SUNNY____ROOF DECK___LAUNDRY____HEAT INC,1BR / 1Ba,2150,,NY,(Clinton Hill),Apartment,(206) 200-0405,Terrance,Terrance@gmail.com
Real Estate,Properties for rent,BEAUTIFUL 1 BR___SPACIOUS AND SUNNY____ROOF DECK___LAUNDRY____HEAT INC,1BR / 1Ba,2150,,NY,(Clinton Hill),Apartment,(206) 200-0408,Zyaire,Zyaire@gmail.com
Real Estate,Properties for rent,-----LUXURY 1 BED BY WILLIAMSBURG BRIDGE -----Prvt Balconie,2BR / 1Ba,3345,,NY,(WILLIAMSBURG),Apartment,(206) 200-0413,Augustine,Augustine@gmail.com
Real Estate,Properties for rent,Best Priced 2x2! Perfect Roommate Layout! Tour today!,2BR / 2Ba,2830,965,NY,"(White Plains, Westchester, Downtown White Plains, Metro Nort)",Apartment,(206) 200-0415,Cory,Cory@gmail.com
Real Estate,Properties for rent,SE RENTA APARTAMENTO EN RIDGEWOOD NY,,1800,,NY,(RIDGEWOODS),Apartment,(206) 200-0091,Felipe,Felipe@gmail.com
Real Estate,Properties for rent,"DEAL in Bedstuy  2 HUGE bedrooms, 1 bathroom/NO broker fee",2BR / 1Ba,2100,,NY,(bedstuy),Apartment,(206) 200-0092,Aron,Aron@gmail.com
Real Estate,Properties for rent,Beautiful Apt in Great location - Spacious and Sunny!,3BR / 2Ba,4399,,NY,(Williamsburg),Apartment,(206) 200-0095,Jacoby,Jacoby@gmail.com
Real Estate,Properties for rent,UNIQUE - Most Exquisite Luxury Williamsburg development! - << PRIVATE,1BR / 1Ba,3195,,NY,(Williamsburg),Apartment,(206) 200-0401,Harlan,Harlan@gmail.com
Real Estate,Properties for rent,"♣♣3 Bed / 1 Bath in Bushwick, Brooklyn. Pets Upon Approval.)(*",3BR / 1Ba,2900,,NY,(Bushwick),Apartment,(206) 200-0402,Marc,Marc@gmail.com
Real Estate,Properties for rent,*** Great 1BR * CITY APT / QUEENS RENT * MUST SEE * 12 min to TQ ***,1BR / 1Ba,1975,,NY,(Harlem / Morningside),Apartment,(206) 200-0403,Bobby,Bobby@gmail.com
Real Estate,Properties for rent,#!~ Williamsburg~Big rooms~Huge #!~ living room~JMZ train lines,2BR / 1Ba,2840,,NY,(Williamsburg),Apartment,(206) 200-0405,Joey,Joey@gmail.com
Real Estate,Properties for rent,HUGE 3 BED/1.5 BA - dishwasher+queen size rooms+closets+ backyard!,3BR / 1Ba,3175,,NY,(Bushwick),Apartment,(206) 200-0408,Anson,Anson@gmail.com
Real Estate,Properties for rent,-- 2BD 1BTH! JEFFERSON L // BUSHWICK // NO FEE,2BR / 1.5Ba,2658,,NY,(PRIME Bushwick),Apartment,(206) 200-0413,Huxley,Huxley@gmail.com
Real Estate,Properties for rent,PRIV Deck 1-BR Downtown Jersey City Steps to Grove PATH,1BR / 0Ba,2695,765,NY,(Jersey City Downtown Grove),Apartment,(206) 200-0415,Marlon,Marlon@gmail.com
Real Estate,Properties for rent,two bedroom one bath,2BR / 1Ba,1600,,NY,(north east bronx area),Apartment,(206) 200-0091,Anders,Anders@gmail.com
Real Estate,Properties for rent,LAUNDRY♥♥??SHARED BACKYARD -- HURRY UP! BESTIAL ??APAR,2BR / 1Ba,2900,,NY,(♥Williamsburg),Apartment,(206) 200-0092,Guillermo,Guillermo@gmail.com
Real Estate,Properties for rent,*NO FEE* Gorgeous Large 2 Bedroom 1 Bath Apt *Flushing *Near 7 Train,2BR / 1Ba,2250,,NY,(Flushing),Apartment,(206) 200-0095,Payton,Payton@gmail.com
Real Estate,Properties for rent,"~~2 full-size bedrooms with nice windows, a modern bathroom",2BR / 1Ba,2400,,NY,(Bed-Stuy),Apartment,(206) 200-0401,Castiel,Castiel@gmail.com
Real Estate,Properties for rent,"Immaculate 3 Bedroom 1.5 bath in QUIET UPSCALE area *** ONLY 1,850****",3BR / 1.5Ba,1850,1350,NY,(Richmond Valley),Apartment,(206) 200-0402,Damari,Damari@gmail.com
Real Estate,Properties for rent,"2 bedroom - Stainless Steel Ge Appliances, Led Track Lighting, Gas grill",2BR / 2Ba,3200,1175,NY,,Apartment,(206) 200-0403,Shepherd,Shepherd@gmail.com
Real Estate,Properties for rent,"On site management, Kitchen island - breakfast bar, Shuttle service",1BR / 1Ba,2253,810,NY,,Apartment,(206) 200-0405,Azariah,Azariah@gmail.com
Real Estate,Properties for rent,Err:501,1BR / 1Ba,2000,,NY,(CROWN HEIGHTS),Apartment,(206) 200-0408,Harold,Harold@gmail.com
Real Estate,Properties for rent,"""1 BdRooM SPACIOUS APPT.Water,Gas,Heating, INCULDED",1BR / 1Ba,1350,,NY,(Elmont),Apartment,(206) 200-0413,Harper,Harper@gmail.com
Real Estate,Properties for rent,"Classic 1br,1ba,high ceiling, 3rd floor walk up,122&Lenox",1BR / 1Ba,1650,,NY,(Harlem / Morningside),Apartment,(206) 200-0415,Henrik,Henrik@gmail.com
Real Estate,Properties for rent,3 bedroom railroad style apartment,3BR / 1Ba,2000,1000,NY,(gLENDALE),Apartment,(206) 200-0091,Houston,Houston@gmail.com
Real Estate,Properties for rent,Gorgeous Luxury 1 Bedroom w/ Huge Private Terrace & Laundry in Unit,1BR / 1Ba,2650,,NY,(Ridgewood),Apartment,(206) 200-0092,Kairo,Kairo@gmail.com
Real Estate,Properties for rent,No fee! Amazing 3 bed! Walking Distance to Columbia! Great for Share!,3BR / 1Ba,3800,,NY,(Harlem / Morningside),Apartment,(206) 200-0095,Willie,Willie@gmail.com
Real Estate,Properties for rent,BLOWOUT RATES!!! 500 OFF FIRST MONTH,0BR / 1Ba,1742,700,NY,,Apartment,(206) 200-0401,Elisha,Elisha@gmail.com
Real Estate,Properties for rent,Stunning Sunny Large Two Bed Apt - Located on Quiet Block,2BR / 1Ba,1850,,NY,(East Flatbush),Apartment,(206) 200-0402,Ameer,Ameer@gmail.com
Real Estate,Properties for rent,TRAIN L& ❥❥M??SMALL DOG OK.. HUGE RENOVATED 3 BED,3BR / 1Ba,2600,,NY,(❥RIDGEWOOD),Apartment,(206) 200-0403,Emory,Emory@gmail.com
Real Estate,Properties for rent,"♣♥2 Bed / 2 Bath in South Slope, Brooklyn. Pets Upon Approval^",2BR / 2Ba,2950,,NY,(South Slope),Apartment,(206) 200-0405,Skylar,Skylar@gmail.com
Real Estate,Properties for rent,"A must see no fee, ☻Great priced, •2 bedroom, Great location @",2BR / 1Ba,2099,,NY,"(Bushwick @ J,Z at Gates Av)",Apartment,(206) 200-0408,Sutton,Sutton@gmail.com
Real Estate,Properties for rent,"Classic 1br,1ba,high ceiling, 3rd floor walk up,122&Lenox",1BR / 1Ba,1650,,NY,(Harlem / Morningside),Apartment,(206) 200-0413,Alfonso,Alfonso@gmail.com
Real Estate,Properties for rent,3 bedroom railroad style apartment,3BR / 1Ba,2000,1000,NY,(gLENDALE),Apartment,(206) 200-0415,Brentley,Brentley@gmail.com
Real Estate,Properties for rent,Gorgeous Luxury 1 Bedroom w/ Huge Private Terrace & Laundry in Unit,1BR / 1Ba,2650,,NY,(Ridgewood),Apartment,(206) 200-0091,Toby,Toby@gmail.com
Real Estate,Properties for rent,No fee! Amazing 3 bed! Walking Distance to Columbia! Great for Share!,3BR / 1Ba,3800,,NY,(Harlem / Morningside),Apartment,(206) 200-0092,Blaze,Blaze@gmail.com
Real Estate,Properties for rent,BLOWOUT RATES!!! 500 OFF FIRST MONTH,0BR / 1Ba,1742,700,NY,,Apartment,(206) 200-0095,Eugene,Eugene@gmail.com
Real Estate,Properties for rent,Stunning Sunny Large Two Bed Apt - Located on Quiet Block,2BR / 1Ba,1850,5,NY,(East Flatbush),Apartment,(206) 200-0401,Shiloh,Shiloh@gmail.com
Real Estate,Properties for rent,TRAIN L& ❥❥M??SMALL DOG OK.. HUGE RENOVATED 3 BED,3BR / 1Ba,2600,,NY,(❥RIDGEWOOD),Apartment,(206) 200-0402,Wayne,Wayne@gmail.com
Real Estate,Properties for rent,"♣♥2 Bed / 2 Bath in South Slope, Brooklyn. Pets Upon Approval^",2BR / 2Ba,2950,,NY,(South Slope),Apartment,(206) 200-0403,Darian,Darian@gmail.com
Real Estate,Properties for rent,"A must see no fee, ☻Great priced, •2 bedroom, Great location @",2BR / 1Ba,2099,,NY,"(Bushwick @ J,Z at Gates Av)",Apartment,(206) 200-0405,Gordon,Gordon@gmail.com
Real Estate,Properties for rent,Spacious 2-Bedroom Basement Apartment Available For Rent - 1400,2BR / 1Ba,1400,,NY,,Apartment,(206) 200-0408,London,London@gmail.com
Real Estate,Properties for rent,"2 BR/2BA! Vaulted Ceilings, Balcony, South Facing & a View!",2BR / 2Ba,3085,955,NY,"(White Plains, Westchester, Downtown White Plains, Metro Nort)",Apartment,(206) 200-0413,Bodie,Bodie@gmail.com
Real Estate,Properties for rent,"Central Greenwich, CT",3BR / 2Ba,3495,1200,NY,(Milbank Avenue),Apartment,(206) 200-0415,Jordy,Jordy@gmail.com
Real Estate,Properties for rent,Huge three bedroom two baths with formal dining room,3BR / 2Ba,1850,,NY,(north east brox),Apartment,(206) 200-0091,Jermaine,Jermaine@gmail.com
Real Estate,Properties for rent,Err:509,2BR / 2Ba,2291,800,NY,(BUSHWICK),Apartment,(206) 200-0092,Denver,Denver@gmail.com
Real Estate,Properties for rent,Spacious Two Bedroom Apartment in Luxury Building,2BR / 1Ba,2600,,NY,(867 Dekalb Ave),Apartment,(206) 200-0095,Gerald,Gerald@gmail.com
Real Estate,Properties for rent,*1 Month FREE* 1 Bedroom Apt For Rent (NO FEE) (345 Main Street),1BR / 1Ba,2180,660 5,NY,(White Plains),Apartment,(206) 200-0401,Merrick,Merrick@gmail.com
Real Estate,Properties for rent,Err:509,2BR / 1Ba,3500,,NY,(PROSPECT LEFFERTS GARDEN/WINTHROP),Apartment,(206) 200-0402,Musa,Musa@gmail.com
Real Estate,Properties for rent,Price JUST REDUCED!,1BR / 1Ba,2345,729 5,NY,"(White Plains, Westchester, Downtown White Plains, Metro Nort)",Apartment,(206) 200-0403,Vincenzo,Vincenzo@gmail.com
Real Estate,Properties for rent,"+Great renovated STUDIO apt by 2,3,5 ♣trains@President=@==SEP1 ====",0BR / 1Ba,1700,,NY,(CROWN HEIGHTS),Apartment,(206) 200-0405,Kody,Kody@gmail.com
Real Estate,Properties for rent,"Reduced Rate on Beautiful 2x2. Large Balcony, Pool/Courtyard View!",2BR / 2Ba,2601,1037,NY,"(Stamford, CT)",Apartment,(206) 200-0408,Yahir,Yahir@gmail.com
Real Estate,Properties for rent,Err:509,2BR / 1Ba,2245,850,NY,(BUSHWICK),Apartment,(206) 200-0413,Brodie,Brodie@gmail.com
Real Estate,Properties for rent,Err:509,2BR / 1Ba,2245,,NY,(BUSHWICK!),Apartment,(206) 200-0415,Trace,Trace@gmail.com
Real Estate,Properties for rent,4 bed duplex ^*with laundry in ^*unit! Private yard,4BR / 1.5Ba,3799,,NY,(Bushwick),Apartment,(206) 200-0091,Darwin,Darwin@gmail.com
Real Estate,Properties for rent,Great Neighborhood..Walk to Train..Close to Highway..Deck/Water View,2BR / 2Ba,2876,962,NY,(Stamford),Apartment,(206) 200-0092,Tadeo,Tadeo@gmail.com
Real Estate,Properties for rent,Err:509,2BR / 1Ba,3450,,NY,(WILLIAMSBURG),Apartment,(206) 200-0095,Bentlee,Bentlee@gmail.com
Real Estate,Properties for rent,ONE BEDROOM APT ALL UTLITIES INCLUD 1250 READY TO MOVE IN,1BR / 1Ba,1250,,NY,(JAMAICA AVE /111TH AVE),Apartment,(206) 200-0401,Billy,Billy@gmail.com
